Timestamp,I have read the participant information and agree to take part in this survey.,Please provide the age range you belong to:,Where do you live?,Which language do you prefer for health information?,Which of the following digital healthcare services have you used in the past year?,How often do you use digital healthcare services?,Which platform do you use most often?,Overall Trust in Digital Healthcare Services [I trust digital and telehealth services for managing my healthcare needs.],Overall Trust in Digital Healthcare Services [I feel confident relying on digital healthcare services when medical help is needed.],Overall Trust in Digital Healthcare Services [I believe that digital healthcare providers generally act in my best interest regarding my health.],Trust-Building Factors: Data Privacy and Security [I believe my personal health information is kept private on digital healthcare platforms.],Trust-Building Factors: Data Privacy and Security [I feel my health data is protected from misuse or cyberattacks.],Trust-Building Factors: Data Privacy and Security [I am confident that the platform uses advanced encryption (secure technology) to store my medical records.],Trust-Building Factors: Data Transparency [Digital healthcare platforms clearly explain how my health data is used.],"Trust-Building Factors: Data Transparency [I can see which parties (doctor, lab, pharmacy) my health data is shared with.]",Trust-Building Factors: Data Transparency [I can see who has accessed my health records and when.],Trust-Building Factors: Consent and Control [I am asked for clear permission before my health data is collected or shared.],Trust-Building Factors: Consent and Control [I feel confident that I can withdraw my consent or delete my data from the platform whenever I choose.],"Trust-Building Factors: Consent and Control [I can choose which partners (lab, pharmacy, insurer) are allowed to see my data.]",Trust-Building Factors: Governance and Accountability [It is clear who is responsible if my health data is misused.],Trust-Building Factors: Governance and Accountability [There is an easy way to raise a complaint about my data or my care.],Trust-Building Factors: Governance and Accountability [Complaints I raise are tracked and resolved within a reasonable time.],Trust-Building Factors: Communication [The platform explains things in simple language that I understand.],"Trust-Building Factors: Communication [I receive timely updates at each step of my care (e.g., report ready, medicine dispatched).]",Trust-Building Factors: Communication [Messages from the platform feel respectful and caring.],Trust-Building Factors: Credibility and Social Proof [I trust digital healthcare services that are associated with certified doctors or hospitals.],Trust-Building Factors: Credibility and Social Proof [Seeing doctor qualifications on digital platforms increases my trust.],Trust-Building Factors: Credibility and Social Proof [Positive reviews and ratings from other patients significantly increase my trust in a digital doctor.],Trust-Building Factors: Credibility and Social Proof [Well-known digital healthcare platforms appear more trustworthy to me.],Trust-Building Factors: Credibility and Social Proof [I am more likely to trust a digital healthcare platform if it is recommended by friends or family.],Trust-Building Factors: Service Reliability [Digital healthcare platforms provide reliable medical advice.],Trust-Building Factors: Service Reliability [Online consultations through digital healthcare are generally accurate.],"Trust-Building Factors: Service Reliability [I trust that the platform will function smoothly without technical glitches (e.g., video freezing) during consultations.]",Trust Barriers / Concerns [I worry that my health data may be shared without my permission.],Trust Barriers / Concerns [I worry that my health data might be sold to third-party companies (like insurance or pharmaceutical firms) without my knowledge.],Trust Barriers / Concerns [I am concerned about incorrect diagnosis through online consultations.],Trust Barriers / Concerns [The lack of physical examination reduces my trust in digital healthcare services.],Trust Barriers / Concerns [I am concerned that important physical symptoms might be missed because the doctor cannot see me clearly through a screen.],Trust Barriers / Concerns [I fear online fraud while making payments on digital healthcare platforms.],Trust Barriers / Concerns [Hidden charges reduce my trust in digital healthcare services.],Trust Barriers / Concerns [Using digital healthcare platforms feels complicated for me.],"Trust Barriers / Concerns [I find the registration or login process for digital health apps frustrating, which lowers my trust in them.]",Future Intention and Adoption [I intend to continue using digital healthcare services in the future.],Future Intention and Adoption [I would recommend digital healthcare services to others.],Future Intention and Adoption [I plan to make digital healthcare my first option for minor health issues before visiting a physical clinic.],"Trust Barriers / Concerns [To show you are reading carefully, please select 'Agree' for this statement.]",Pricing [The pricing of digital healthcare services is clear and upfront.],Future Intention and Adoption [I am willing to use digital healthcare services more frequently if trust concerns are addressed.],Your overall experience with digital healthcare services can be rated as:
2026-01-22 15:49:24.303914,Yes,55-64,Tier-2 / Tier-3 city,English,"Online doctor consultations (video/chat), Mental health/counselling via telehealth, Digital health monitoring apps (e.g. BP, fitness), Viewing lab results/medical records online",A few times a year,Tata 1mg,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,3
2026-01-22 16:55:09.628053,Yes,45-54,Metro city,Hindi,"Online doctor consultations (video/chat), Scheduling appointments online, Online prescription refills/pharmacy services",Monthly,Practo,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,4
2026-01-22 18:46:42.621765,Yes,45-54,Metro city,English,Scheduling appointments online,A few times a year,Hospital's own app,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,5
2026-01-22 19:29:10.597011,Yes,18-24,Tier-2 / Tier-3 city,Hindi,"Online doctor consultations (video/chat), Scheduling appointments online, Viewing lab results/medical records online, Online prescription refills/pharmacy services",Daily/Almost Daily,Hospital's own app,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,5
2026-01-22 23:32:27.272372,Yes,25-34,Metro city,English,"Online doctor consultations (video/chat), Scheduling appointments online, Online prescription refills/pharmacy services",Monthly,eSanjeevani,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,3
2026-01-23 03:07:48.299919,Yes,35-44,Rural / semi-urban,Marathi,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23 06:08:22.677282,Yes,25-34,Metro city,English,Online prescription refills/pharmacy services,Monthly,PharmEasy,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,2
2026-01-23 08:56:16.400025,Yes,25-34,Tier-2 / Tier-3 city,Hindi,Viewing lab results/medical records online,A few times a year,Practo,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,4
2026-01-23 09:34:55.450751,Yes,18-24,Tier-2 / Tier-3 city,Marathi,"Online doctor consultations (video/chat), Viewing lab results/medical records online",Monthly,PharmEasy,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,4
2026-01-23 18:22:57.626934,Yes,18-24,Rural / semi-urban,Other,"Digital health monitoring apps (e.g. BP, fitness), Scheduling appointments online",Weekly,Tata 1mg,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2
2026-01-23 19:32:57.396364,Yes,35-44,Metro city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",Daily/Almost Daily,Tata 1mg,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,1
2026-01-23 20:16:54.531711,Yes,18-24,Tier-2 / Tier-3 city,Hindi,"Scheduling appointments online, Online doctor consultations (video/chat), Viewing lab results/medical records online, Digital health monitoring apps (e.g. BP, fitness)",Weekly,Hospital's own app,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,2
2026-01-23 21:15:52.101741,Yes,35-44,Tier-2 / Tier-3 city,Hindi,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services, Viewing lab results/medical records online",Daily/Almost Daily,Practo,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,2
2026-01-23 21:25:02.620300,Yes,18-24,Tier-2 / Tier-3 city,Hindi,"Viewing lab results/medical records online, Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness), Online doctor consultations (video/chat)",Monthly,Practo,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,4
2026-01-23 23:14:18.195886,Yes,25-34,Tier-2 / Tier-3 city,Hindi,Online doctor consultations (video/chat),Monthly,Tata 1mg,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,4
2026-01-23 23:34:44.823483,Yes,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24 00:33:01.176421,Yes,25-34,Tier-2 / Tier-3 city,Marathi,"Scheduling appointments online, Online prescription refills/pharmacy services",Weekly,Other,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Neutral,4
2026-01-24 00:51:48.735973,Yes,18-24,Metro city,English,"Online doctor consultations (video/chat), Viewing lab results/medical records online",Weekly,Apollo 24|7,Agree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,3
2026-01-24 01:12:31.598034,Yes,25-34,Metro city,Hindi,"Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",Weekly,Tata 1mg,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,3
2026-01-24 01:13:05.049686,Yes,18-24,Tier-2 / Tier-3 city,Marathi,"Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness), Scheduling appointments online",A few times a year,Tata 1mg,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,2
2026-01-24 02:17:51.040535,Yes,25-34,Tier-2 / Tier-3 city,Hindi,"Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness), Online prescription refills/pharmacy services",Daily/Almost Daily,Apollo 24|7,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,3
2026-01-24 03:05:19.168853,Yes,25-34,Tier-2 / Tier-3 city,Hindi,"Mental health/counselling via telehealth, Online doctor consultations (video/chat)",Monthly,Hospital's own app,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,4
2026-01-24 03:16:41.381602,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness), Online doctor consultations (video/chat)",A few times a year,Practo,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,2
2026-01-24 03:18:25.695757,Yes,35-44,Tier-2 / Tier-3 city,Hindi,Mental health/counselling via telehealth,A few times a year,Tata 1mg,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,4
2026-01-24 04:14:12.198396,Yes,35-44,Tier-2 / Tier-3 city,Marathi,"Digital health monitoring apps (e.g. BP, fitness), Online prescription refills/pharmacy services",Monthly,Practo,,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,3
2026-01-24 04:25:02.304675,Yes,55-64,Metro city,Hindi,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24 04:37:14.896375,Yes,18-24,Tier-2 / Tier-3 city,Hindi,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",Weekly,PharmEasy,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,4
2026-01-24 04:40:16.628357,Yes,45-54,Rural / semi-urban,Hindi,"Scheduling appointments online, Digital health monitoring apps (e.g. BP, fitness)",Weekly,Other,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,1
2026-01-24 04:45:01.044324,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Viewing lab results/medical records online, Online doctor consultations (video/chat)",Weekly,Apollo 24|7,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,3
2026-01-24 05:28:57.604121,Yes,65 and over,Metro city,English,"Online doctor consultations (video/chat), Mental health/counselling via telehealth",A few times a year,Apollo 24|7,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,3
2026-01-24 05:45:24.316823,Yes,18-24,Tier-2 / Tier-3 city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat), Viewing lab results/medical records online",Weekly,Tata 1mg,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Neutral,4
2026-01-24 05:47:24.317277,Yes,18-24,Rural / semi-urban,English,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness)",Weekly,PharmEasy,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,3
2026-01-24 06:02:10.517463,Yes,18-24,Tier-2 / Tier-3 city,Hindi,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24 06:14:50.751176,Yes,45-54,Rural / semi-urban,English,Online prescription refills/pharmacy services,A few times a year,Hospital's own app,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5
2026-01-24 06:23:13.133052,Yes,25-34,Rural / semi-urban,Hindi,"Online prescription refills/pharmacy services, Viewing lab results/medical records online",Weekly,Practo,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,4
2026-01-24 06:38:54.123231,Yes,55-64,Tier-2 / Tier-3 city,Hindi,Online doctor consultations (video/chat),Monthly,Tata 1mg,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,3
2026-01-24 06:44:11.552237,Yes,18-24,Tier-2 / Tier-3 city,English,"Online doctor consultations (video/chat), Scheduling appointments online, Viewing lab results/medical records online, Digital health monitoring apps (e.g. BP, fitness)",A few times a year,Tata 1mg,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,4
2026-01-24 08:05:53.041680,Yes,45-54,Metro city,Hindi,"Scheduling appointments online, Online doctor consultations (video/chat)",A few times a year,Hospital's own app,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,5
2026-01-24 09:36:45.785164,Yes,18-24,Metro city,Other,"Online doctor consultations (video/chat), Viewing lab results/medical records online, Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness)",Monthly,Tata 1mg,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,3
2026-01-24 09:38:06.634362,Yes,18-24,Tier-2 / Tier-3 city,English,"Online doctor consultations (video/chat), Scheduling appointments online",A few times a year,Practo,Strongly Disagree,,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,3
2026-01-24 10:12:06.490172,Yes,25-34,Metro city,English,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",A few times a year,eSanjeevani,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,2
2026-01-24 10:38:59.038839,Yes,18-24,Metro city,English,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",A few times a year,Apollo 24|7,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,4
